Date,Drug type,Origin,Transit,Destination,Seizure country,Seizure place,Routing,Concealment,Modus operandi,Total quantity (kg),Other quantity,Other unit,Case count,Arrests,Transport type,Container,Risk score,Risk band,Risk flags,Reports (n),Outlets,Text used,Headline,Link,Event ID
2026-09-16,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (640 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 2 arrests,640.0,,,1,2.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Test Gazette,full,Customs seize 640 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/135,135
2026-09-16,Cocaine,,,,Netherlands,Rotterdam,,,Cocaine (450 kg) | Sea - container | 2 arrests | insider indicators,450.0,,,1,2.0,Sea - container,Yes,25,Medium,"Container cargo, Insider indicator",1,Mock Courier,full,Two port workers arrested after 450 kg of cocaine recovered from container in Rotterdam,https://example.com/demo/143,143
2026-09-16,NSA,Netherlands,,United Kingdom,United Kingdom,Felixstowe,Netherlands -> United Kingdom,Postal / parcel,"NSA (300,000 pills) | Post/express | concealed: Postal / parcel | route: Netherlands -> United Kingdom",,300000.0,pills,1,,Post/express,No,0,Low,,1,Test Gazette,full,"Border officers intercept 300,000 MDMA tablets sent by post to United Kingdom",https://example.com/demo/121,121
2026-09-15,Cocaine,Ecuador,,,Spain,Algeciras,Ecuador -> Spain,Legitimate cargo (food/produce),Cocaine (2.2 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Spain | 3 arrests,2200.0,,,1,3.0,Sea - container,Yes,65,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Emerging corridor",1,Test Gazette,full,Incautan 2.200 kilos de cocaína en el puerto de Algeciras,https://example.com/demo/122,122
2026-09-15,Cocaine,Peru,,Poland,Poland,Gdansk / Gdynia,Peru -> Poland,Legitimate cargo (industrial/goods),Cocaine (1.1 t) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Peru -> Poland | 1 arrests,1100.0,,,1,1.0,Sea - container,Yes,60,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Emerging corridor, Organised network",1,Mock Courier,full,Customs seize 1.1 tonnes of cocaine hidden in steel shipment at Gdansk,https://example.com/demo/140,140
2026-09-15,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (1.8 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 4 arrests,1800.0,,,1,4.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Sample Herald,full,Customs seize 1.8 tonnes of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/136,136
2026-09-12,Cocaine,Peru,,Poland,Poland,Gdansk / Gdynia,Peru -> Poland,Legitimate cargo (industrial/goods),Cocaine (760 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Peru -> Poland | 4 arrests,760.0,,,1,4.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Emerging corridor",1,Demo Daily,full,Customs seize 760 kg of cocaine hidden in steel shipment at Gdansk,https://example.com/demo/141,141
2026-09-12,Cannabis,Albania,,,Italy,,Albania -> Italy,Vehicle compartment,Cannabis (900 kg) | Road | concealed: Vehicle compartment | route: Albania -> Italy | 2 arrests,900.0,,,1,2.0,Road,No,35,Medium,"Advanced concealment, Multi-country route, Emerging corridor",1,Mock Courier,full,Police seize 900 kg of cannabis hidden in a truck in Italy,https://example.com/demo/124,124
2026-09-11,NSA,Canada,,United States,United States,Port Everglades,Canada -> United States,Postal / parcel,"NSA (120,000 pills) | Post/express | concealed: Postal / parcel | route: Canada -> United States",,120000.0,pills,1,,Post/express,No,0,Low,,1,Mock Courier,full,"Border officers intercept 120,000 MDMA tablets sent by post to United States",https://example.com/demo/125,125
2026-09-10,Cocaine,Ecuador,,,France,Le Havre,Ecuador -> France,Impregnation / liquid / disguised; Legitimate cargo (food/produce),Cocaine (250 kg) | Sea - container | concealed: Legitimate cargo (food/produce); Impregnation / liquid / disguised | route: Ecuador -> France | 2 arrests,250.0,,,1,2.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Multi-country route",1,Sample Herald,full,Saisie de 250 kg de cocaïne au port du Havre,https://example.com/demo/126,126
2026-09-08,Cocaine,Colombia,,,France,Le Havre,Colombia -> France,Impregnation / liquid / disguised; Legitimate cargo (food/produce),Cocaine (600 kg) | Sea - container | concealed: Legitimate cargo (food/produce); Impregnation / liquid / disguised | route: Colombia -> France | 2 arrests,600.0,,,1,2.0,Sea - container,Yes,70,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Large quantity, Multi-country route",1,Example Post,full,Saisie de 600 kg de cocaïne au port du Havre,https://example.com/demo/127,127
2026-09-07,Cocaine,Peru,,,Spain,Algeciras,Peru -> Spain,Legitimate cargo (food/produce),Cocaine (800 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Peru -> Spain | 3 arrests,800.0,,,1,3.0,Sea - container,Yes,65,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Emerging corridor",3,"Example Post, Sample Herald",full,Incautan 800 kilos de cocaína en el puerto de Algeciras,https://example.com/demo/123,123
2026-09-07,Cocaine,Colombia,,,United Kingdom,Felixstowe,Colombia -> United Kingdom,Body concealment,Cocaine (2 kg) | Air - passenger | concealed: Body concealment | route: Colombia -> United Kingdom,2.0,,,1,,Air - passenger,No,20,Low,"Multi-country route, Emerging corridor",1,Test Gazette,full,Passenger arrested at Heathrow after swallowing 87 pellets of cocaine,https://example.com/demo/130,130
2026-09-06,Cocaine,Ecuador,,France,France,Le Havre,Ecuador -> France,Legitimate cargo (food/produce),Cocaine (120 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> France,120.0,,,1,,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",1,Demo Daily,full,Customs seize 120 kg of cocaine hidden in bananas shipment at Le Havre,https://example.com/demo/1,1
2026-09-04,Cocaine,Ecuador,,Netherlands,Netherlands,Rotterdam,Ecuador -> Netherlands,Legitimate cargo (food/produce),Cocaine (640 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Netherlands | 5 arrests,640.0,,,1,5.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Demo Daily,full,Customs seize 640 kg of cocaine hidden in frozen fish shipment at Rotterdam,https://example.com/demo/4,4
2026-09-04,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (250 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 3 arrests,250.0,,,1,3.0,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",2,"Mock Courier, Sample Herald",full,Customs seize 250 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/2,2
2026-09-03,Cocaine,Brazil,,Germany,Germany,Hamburg,Brazil -> Germany,Legitimate cargo (food/produce),Cocaine (120 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Brazil -> Germany | 4 arrests,120.0,,,1,4.0,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",1,Example Post,full,Customs seize 120 kg of cocaine hidden in sugar shipment at Hamburg,https://example.com/demo/5,5
2026-09-03,NSA,Netherlands,,Australia,Australia,Sydney,Netherlands -> Australia,Postal / parcel,"NSA (120,000 pills) | Post/express | concealed: Postal / parcel | route: Netherlands -> Australia",,120000.0,pills,1,,Post/express,No,0,Low,,1,Test Gazette,full,"Border officers intercept 120,000 MDMA tablets sent by post to Australia",https://example.com/demo/6,6
2026-09-02,Cocaine,Brazil,,Germany,Germany,Hamburg,Brazil -> Germany,Legitimate cargo (food/produce),Cocaine (1.2 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Brazil -> Germany,1200.0,,,1,,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Demo Daily,full,Customs seize 1.2 tonnes of cocaine hidden in sugar shipment at Hamburg,https://example.com/demo/7,7
2026-09-01,Cocaine,Colombia,,Portugal,Portugal,Sines / Lisbon,Colombia -> Portugal,Legitimate cargo (food/produce),Cocaine (3.1 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Portugal | 3 arrests,3100.0,,,1,3.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Mock Courier,full,Customs seize 3.1 tonnes of cocaine hidden in fruit juice shipment at Sines,https://example.com/demo/8,8
2026-09-01,Cannabis,Spain,,,France,,Spain -> France,Vehicle compartment,Cannabis (520 kg) | Road | concealed: Vehicle compartment | route: Spain -> France | 2 arrests,520.0,,,1,2.0,Road,No,25,Medium,"Advanced concealment, Multi-country route",1,Sample Herald,full,Police seize 520 kg of cannabis hidden in a truck in France,https://example.com/demo/9,9
2026-08-31,Cocaine,Ecuador,,Netherlands,Netherlands,Rotterdam,Ecuador -> Netherlands,Legitimate cargo (food/produce),Cocaine (3.1 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Netherlands | 3 arrests,3100.0,,,1,3.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Example Post,full,Customs seize 3.1 tonnes of cocaine hidden in frozen fish shipment at Rotterdam,https://example.com/demo/12,12
2026-08-31,Cocaine,Colombia,,,France,Le Havre,Colombia -> France,Impregnation / liquid / disguised; Legitimate cargo (food/produce),Cocaine (250 kg) | Sea - container | concealed: Legitimate cargo (food/produce); Impregnation / liquid / disguised | route: Colombia -> France | 2 arrests,250.0,,,1,2.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Multi-country route",1,Test Gazette,full,Saisie de 250 kg de cocaïne au port du Havre,https://example.com/demo/10,10
2026-08-31,NSA,Netherlands,,United Kingdom,United Kingdom,Felixstowe,Netherlands -> United Kingdom,Postal / parcel,"NSA (300,000 pills) | Post/express | concealed: Postal / parcel | route: Netherlands -> United Kingdom",,300000.0,pills,1,,Post/express,No,0,Low,,1,Example Post,full,"Border officers intercept 300,000 MDMA tablets sent by post to United Kingdom",https://example.com/demo/11,11
2026-08-30,Cannabis,Morocco,,,Spain,,Morocco -> Spain,Vehicle compartment,Cannabis (2.6 t) | Road | concealed: Vehicle compartment | route: Morocco -> Spain | 2 arrests,2600.0,,,1,2.0,Road,No,45,Medium,"Advanced concealment, Large quantity, Multi-country route",1,Demo Daily,full,Police seize 2.6 tonnes of cannabis hidden in a truck in Spain,https://example.com/demo/13,13
2026-08-29,Cocaine,Colombia,,Portugal,Portugal,Sines / Lisbon,Colombia -> Portugal,Legitimate cargo (food/produce),Cocaine (250 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Portugal,250.0,,,1,,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",1,Example Post,full,Customs seize 250 kg of cocaine hidden in fruit juice shipment at Sines,https://example.com/demo/16,16
2026-08-29,NSA,Canada,,United States,United States,Port Everglades,Canada -> United States,Postal / parcel,"NSA (300,000 pills) | Post/express | concealed: Postal / parcel | route: Canada -> United States",,300000.0,pills,1,,Post/express,No,0,Low,,1,Demo Daily,full,"Border officers intercept 300,000 MDMA tablets sent by post to United States",https://example.com/demo/15,15
2026-08-28,Cannabis,Spain,,,France,,Spain -> France,Vehicle compartment,Cannabis (2.6 t) | Road | concealed: Vehicle compartment | route: Spain -> France | 2 arrests,2600.0,,,1,2.0,Road,No,45,Medium,"Advanced concealment, Large quantity, Multi-country route",1,Mock Courier,full,Police seize 2.6 tonnes of cannabis hidden in a truck in France,https://example.com/demo/17,17
2026-08-28,Cocaine,Peru,,Italy,Italy,Gioia Tauro,Peru -> Italy,Legitimate cargo (industrial/goods),Cocaine (400 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Peru -> Italy | 5 arrests,400.0,,,1,5.0,Sea - container,Yes,40,Medium,"Container cargo, Hidden in legitimate cargo, Emerging corridor, Organised network",1,Mock Courier,full,Customs seize 400 kg of cocaine hidden in timber shipment at Gioia Tauro,https://example.com/demo/20,20
2026-08-28,Heroin/Opium,Ethiopia,,,Netherlands,Rotterdam,Ethiopia -> Netherlands,Body concealment,Heroin/Opium (1 kg) | Air - passenger | concealed: Body concealment | route: Ethiopia -> Netherlands,1.0,,,1,,Air - passenger,No,10,Low,Multi-country route,2,"Demo Daily, Test Gazette",full,Passenger arrested at Schiphol after swallowing 85 pellets of heroin,https://example.com/demo/18,18
2026-08-27,Methamphetamine,Myanmar,,,Indonesia,,Myanmar -> Indonesia,Vessel hull / underwater,Methamphetamine (350 kg) | Sea - vessel/small craft | concealed: Vessel hull / underwater | route: Myanmar -> Indonesia | 3 arrests,350.0,,,1,3.0,Sea - vessel/small craft,No,55,High,"Advanced concealment, Large quantity, Multi-country route, Emerging corridor",2,"Example Post, Mock Courier",full,Navy intercepts fishing vessel carrying 350 kg of methamphetamine,https://example.com/demo/14,14
2026-08-27,Cocaine,Colombia,,Spain,Spain,Algeciras,Colombia -> Spain,Legitimate cargo (food/produce),Cocaine (2.3 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Spain | 3 arrests,2300.0,,,1,3.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Sample Herald,full,Customs seize 2.3 tonnes of cocaine hidden in coffee shipment at Algeciras,https://example.com/demo/21,21
2026-08-26,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (2.3 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 4 arrests,2300.0,,,1,4.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",2,"Example Post, Mock Courier",full,Customs seize 2.3 tonnes of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/24,24
2026-08-26,Heroin/Opium,Pakistan,,,United Kingdom,Felixstowe,Pakistan -> United Kingdom,Body concealment,Heroin/Opium (1 kg) | Air - passenger | concealed: Body concealment | route: Pakistan -> United Kingdom,1.0,,,1,,Air - passenger,No,10,Low,Multi-country route,1,Sample Herald,full,Passenger arrested at Heathrow after swallowing 50 pellets of heroin,https://example.com/demo/23,23
2026-08-26,NSA,Netherlands,,United Kingdom,United Kingdom,Felixstowe,Netherlands -> United Kingdom,Postal / parcel,"NSA (120,000 pills) | Post/express | concealed: Postal / parcel | route: Netherlands -> United Kingdom",,120000.0,pills,1,,Post/express,No,0,Low,,1,Sample Herald,full,"Border officers intercept 120,000 MDMA tablets sent by post to United Kingdom",https://example.com/demo/26,26
2026-08-25,Cigarettes,China,,,Germany,Hamburg,China -> Germany,Legitimate cargo (industrial/goods),"Cigarettes (2,000,000 cigarettes) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: China -> Germany",,2000000.0,cigarettes,1,,Sea - container,Yes,65,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Emerging corridor",1,Test Gazette,full,Customs seize 2 million cigarettes in container declared as furniture at Hamburg,https://example.com/demo/27,27
2026-08-25,Cannabis,Belgium,,,Netherlands,,Belgium -> Netherlands,Vehicle compartment,Cannabis (180 kg) | Road | concealed: Vehicle compartment | route: Belgium -> Netherlands | 2 arrests,180.0,,,1,2.0,Road,No,35,Medium,"Advanced concealment, Multi-country route, Emerging corridor",1,Mock Courier,full,Police seize 180 kg of cannabis hidden in a truck in Netherlands,https://example.com/demo/28,28
2026-08-23,Cocaine,Brazil,,Germany,Germany,Hamburg,Brazil -> Germany,Legitimate cargo (food/produce),Cocaine (2.3 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Brazil -> Germany | 1 arrests,2300.0,,,1,1.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",2,"Demo Daily, Test Gazette",full,Customs seize 2.3 tonnes of cocaine hidden in sugar shipment at Hamburg,https://example.com/demo/29,29
2026-08-22,Cocaine,Peru,,Italy,Italy,Gioia Tauro,Peru -> Italy,Legitimate cargo (industrial/goods),Cocaine (1.2 t) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Peru -> Italy | 4 arrests,1200.0,,,1,4.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Emerging corridor",2,"Demo Daily, Mock Courier",full,Customs seize 1.2 tonnes of cocaine hidden in timber shipment at Gioia Tauro,https://example.com/demo/32,32
2026-08-22,Cocaine,Ecuador,,Netherlands,Netherlands,Rotterdam,Ecuador -> Netherlands,Legitimate cargo (food/produce),Cocaine (1.2 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Netherlands | 4 arrests,1200.0,,,1,4.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Sample Herald,full,Customs seize 1.2 tonnes of cocaine hidden in frozen fish shipment at Rotterdam,https://example.com/demo/31,31
2026-08-21,Cannabis,Belgium,,,Netherlands,,Belgium -> Netherlands,Vehicle compartment,Cannabis (520 kg) | Road | concealed: Vehicle compartment | route: Belgium -> Netherlands | 2 arrests,520.0,,,1,2.0,Road,No,35,Medium,"Advanced concealment, Multi-country route, Emerging corridor",1,Demo Daily,full,Police seize 520 kg of cannabis hidden in a truck in Netherlands,https://example.com/demo/34,34
2026-08-20,Cocaine,Ecuador,,,France,Le Havre,Ecuador -> France,Impregnation / liquid / disguised; Legitimate cargo (food/produce),Cocaine (1.1 t) | Sea - container | concealed: Legitimate cargo (food/produce); Impregnation / liquid / disguised | route: Ecuador -> France | 2 arrests,1100.0,,,1,2.0,Sea - container,Yes,70,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Large quantity, Multi-country route",2,"Demo Daily, Example Post",full,Saisie de 1100 kg de cocaïne au port du Havre,https://example.com/demo/35,35
2026-08-20,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (640 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 4 arrests,640.0,,,1,4.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Test Gazette,full,Customs seize 640 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/36,36
2026-08-20,Cocaine,Panama,,United Kingdom,United Kingdom,Felixstowe,Panama -> United Kingdom,Legitimate cargo (food/produce),Cocaine (400 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Panama -> United Kingdom | 2 arrests,400.0,,,1,2.0,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",1,Test Gazette,full,Customs seize 400 kg of cocaine hidden in pineapples shipment at Felixstowe,https://example.com/demo/38,38
2026-08-19,Cocaine,Brazil,,Germany,Germany,Hamburg,Brazil -> Germany,Legitimate cargo (food/produce),Cocaine (3.1 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Brazil -> Germany | 3 arrests,3100.0,,,1,3.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Demo Daily,full,Customs seize 3.1 tonnes of cocaine hidden in sugar shipment at Hamburg,https://example.com/demo/40,40
2026-08-19,Heroin/Opium,Pakistan,,,Australia,Sydney,Pakistan -> Australia,Body concealment,Heroin/Opium (1 kg) | Air - passenger | concealed: Body concealment | route: Pakistan -> Australia,1.0,,,1,,Air - passenger,No,10,Low,Multi-country route,1,Mock Courier,full,Passenger arrested at Sydney after swallowing 64 pellets of heroin,https://example.com/demo/39,39
2026-08-18,Cannabis,Spain,,,France,,Spain -> France,Vehicle compartment,Cannabis (340 kg) | Road | concealed: Vehicle compartment | route: Spain -> France | 2 arrests,340.0,,,1,2.0,Road,No,25,Medium,"Advanced concealment, Multi-country route",1,Test Gazette,full,Police seize 340 kg of cannabis hidden in a truck in France,https://example.com/demo/41,41
2026-08-17,Cocaine,Colombia,,,Spain,Algeciras,Colombia -> Spain,Legitimate cargo (food/produce),Cocaine (1.5 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Spain | 3 arrests,1500.0,,,1,3.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route",1,Demo Daily,full,Incautan 1.500 kilos de cocaína en el puerto de Algeciras,https://example.com/demo/42,42
2026-08-17,Cocaine,Colombia,,Portugal,Portugal,Sines / Lisbon,Colombia -> Portugal,Legitimate cargo (food/produce),Cocaine (640 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Portugal | 2 arrests,640.0,,,1,2.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Test Gazette,full,Customs seize 640 kg of cocaine hidden in fruit juice shipment at Sines,https://example.com/demo/43,43
2026-08-16,Cocaine,Ecuador,,,Spain,Algeciras,Ecuador -> Spain,Legitimate cargo (food/produce),Cocaine (2.2 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Spain | 3 arrests,2200.0,,,1,3.0,Sea - container,Yes,65,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Emerging corridor",1,Sample Herald,full,Incautan 2.200 kilos de cocaína en el puerto de Algeciras,https://example.com/demo/45,45
2026-08-16,Cocaine,Colombia,,Portugal,Portugal,Sines / Lisbon,Colombia -> Portugal,Legitimate cargo (food/produce),Cocaine (1.2 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Portugal | 5 arrests,1200.0,,,1,5.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Demo Daily,full,Customs seize 1.2 tonnes of cocaine hidden in fruit juice shipment at Sines,https://example.com/demo/44,44
2026-08-15,NSA,Syria,,Saudi Arabia,Jordan,,Syria -> Saudi Arabia,Vehicle compartment,"NSA (1,000,000 pills) | Road | concealed: Vehicle compartment | route: Syria -> Saudi Arabia | 2 arrests",,1000000.0,pills,1,2.0,Road,No,45,Medium,"Advanced concealment, Large quantity, Multi-country route",1,Test Gazette,full,Police seize 1 million captagon pills bound for Saudi Arabia,https://example.com/demo/48,48
