Date,Drug type,Origin,Transit,Destination,Seizure country,Seizure place,Origin place,Destination place,Vessel,Shipping line,Container no.,Cover cargo,Routing,Concealment,Modus operandi,Total quantity (kg),Other quantity,Other unit,Case count,Arrests,Transport type,Container,Risk score,Risk band,Risk flags,Reports (n),Outlets,Text used,Language,Headline,Link,Event ID
2026-09-23,NSA,China,,,United States,Florida,,,,,,cement; chemicals,China -> United States,Legitimate cargo (industrial/goods),NSA | Sea - cargo (other) | concealed: Legitimate cargo (industrial/goods) | route: China -> United States | 21 arrests,,,,1,21.0,Sea - cargo (other),No,35,Medium,"Hidden in legitimate cargo, Multi-country route, Organised network, Multiple drugs",1,China Daily,full,en,"FBI, Chinese police bust synthetic drug traffickers",https://www.chinadaily.com.cn/a/202609/23/WS6ab325e2e4b06d4aa055fa64.html,2571
2026-09-23,Cigarettes,,,,Malaysia,Kuala Lumpur,,,,,,cement,,Legitimate cargo (industrial/goods),"Cigarettes (26,316,754 cigarettes) | Road | concealed: Legitimate cargo (industrial/goods) | 3 arrests",,26316754.0,cigarettes,1,3.0,Road,No,35,Medium,"Hidden in legitimate cargo, Large quantity",1,NST Online,full,en,"[UPDATED] Customs seizes RM25.7mil worth of contraband cigarettes, liquor",https://www.nst.com.my/amp/news/regional/2026/09/1539003/updated-customs-seizes-rm257mil-worth-contraband-cigarettes-liquor,2634
2026-09-23,Cannabis,,,,India,Odisha,,,,,,steel; cement; textiles,,Impregnation / liquid / disguised; Legitimate cargo (industrial/goods); Postal / parcel,Cannabis (36 kg) | Post/express | concealed: Legitimate cargo (industrial/goods); Postal / parcel; Impregnation / liquid / disguised,36.0,,,1,,Post/express,No,35,Medium,"Hidden in legitimate cargo, Advanced concealment, Organised network",1,Pragativadi,full,en,"Balangir Police Seize Ganja Packed in Pickle Cans, Two Held",https://pragativadi.com/balangir-police-cannabis-pickle-jars-seizure-findings/,2859
2026-09-23,Heroin/Opium,Afghanistan,Russia; Albania; Iran,,Russia,,,,,,,,Afghanistan -> Russia -> Albania -> Iran -> Russia,,Heroin/Opium (153 kg) | Sea - cargo (other) | route: Afghanistan -> Russia -> Albania -> Iran -> Russia,153.0,,,1,,Sea - cargo (other),No,35,Medium,"Large quantity, Multi-country route, Multiple drugs",1,Аргументы Недели,full,ru,Героиноизация России снижается,https://argumenti.ru/society/geroinoizaciya-rossii-snizhaetsya-1009695,2798
2026-09-23,Heroin/Opium,Afghanistan,,,China,Shanghai,,,,,,,Afghanistan -> China,,Heroin/Opium (153 kg) | route: Afghanistan -> China,153.0,,,1,,Unknown,No,35,Medium,"Large quantity, Multi-country route, Multiple drugs",2,"ВТамбове, РИА Новый День",full,ru,"Антинаркотическая операция ШОС показала, что трафик героина остается серьезной угрозой для России",https://newdaynews.ru/incidents/880969.html,2799
2026-09-23,NSA,United States,,,Egypt,Cairo,,,,,,الات,United States -> Egypt,Legitimate cargo (industrial/goods),NSA | Air | concealed: Legitimate cargo (industrial/goods) | route: United States -> Egypt,,,,1,,Air,No,30,Medium,"Hidden in legitimate cargo, Multi-country route, Multiple drugs",1,Masrawy,full,ar,وليد الغزالي أحدثهم.. نجوم ونجمات تورطوا في قضايا مخدرات,https://www.masrawy.com/arts/zoom/details/2026/9/23/3052427/%D9%88%D9%84%D9%8A%D8%AF-%D8%A7%D9%84%D8%BA%D8%B2%D8%A7%D9%84%D9%8A-%D8%A3%D8%AD%D8%AF%D8%AB%D9%87%D9%85-%D9%86%D8%AC%D9%88%D9%85-%D9%88%D9%86%D8%AC%D9%85%D8%A7%D8%AA-%D8%AA%D9%88%D8%B1%D8%B7%D9%88%D8%A7-%D9%81%D9%8A-%D9%82%D8%B6%D8%A7%D9%8A%D8%A7-%D9%85%D8%AE%D8%AF%D8%B1%D8%A7%D8%AA,2681
2026-09-23,Cocaine,,,,Belgium,Antwerp,,,,,,,,,Cocaine (3.9 t) | Sea - container,3900.0,,,1,,Sea - container,Yes,30,Medium,"Container cargo, Large quantity",1,Новости Беларуси | БелТА,full,ru,"В Гане задержали владелицу спа-салона за транспортировку 3,9 тонн кокаина в Европу",https://belta.by/world/view/v-gane-zaderzhali-vladelitsu-spa-salona-za-transportirovku-39-tonn-kokaina-v-evropu-802405-2026/,2795
2026-09-23,Cannabis,,,,India,Uttar Pradesh,,,,,,,,,Cannabis (2.3 t),2253.0,,,1,,Unknown,No,25,Medium,"Large quantity, Multiple drugs",1,bhaskar.com,full,hi,"नोएडा पुलिस ने नष्ट कराया 12 करोड़ का नशीला मॉल: 224 मुकदमों से बरामद हुआ था, 2253 किलो गांजा, चरस, डोडा, स्...",https://www.bhaskar.com/local/uttar-pradesh/gautambudh-nagar/news/noida-police-destroys-drugs-seized-ndps-cases-operation-dahan-139124342.html,3109
2026-09-23,Methamphetamine,,,,Turkey,Istanbul,,,,,,,,,Methamphetamine (272 kg) | Road,272.45,,,1,,Road,No,25,Medium,"Large quantity, Multiple drugs",12,"A Haber, Cumhuriyet, DHA | Demirören Haber Ajansı, Hürriyet, Manşet Haber, NTV Haber",full,tr,İstanbul'daki operasyonda 272 kilo 450 gram uyuşturucu ele geçirildi,https://www.ntv.com.tr/yerel-haberler/istanbul-esenyurt/istanbuldaki-operasyonda-272-kilo-450-gram-uyusturucu-ele-gecirildi-1743100,2728
2026-09-23,NSA,,,,Australia,,,,,,,cement,,Legitimate cargo (industrial/goods),"NSA (16 kg, 8,701 plants) | Road | concealed: Legitimate cargo (industrial/goods)",16.0,8701.0,plants,1,,Road,No,25,Medium,"Hidden in legitimate cargo, Organised network, Multiple drugs",1,Mirage News,full,en,"1,200 Charged in Trans-Tasman Drug Trafficking Bust",https://www.miragenews.com/1200-charged-in-trans-tasman-drug-trafficking-1747974/,2577
2026-09-23,NSA,,,,Australia,Melbourne,,,,,,chemicals,,Legitimate cargo (industrial/goods),"NSA (95 kg, 180 plants) | Sea - vessel/small craft | concealed: Legitimate cargo (industrial/goods) | 137 arrests",95.0,180.0,plants,1,137.0,Sea - vessel/small craft,No,25,Medium,"Hidden in legitimate cargo, Organised network, Multiple drugs",2,"Inside State Government, Maribyrnong & Hobsons Bay | Star Weekly",full,en,$57m worth of drugs seized in Victoria as part of national illicit drug week of action,https://www.insidestategovernment.com.au/57m-worth-of-drugs-seized-in-victoria-as-part-of-national-illicit-drug-week-of-action/,2604
2026-09-23,Methamphetamine,,,,Australia,Canberra,,,,,,,,,Methamphetamine (264 kg) | Road,264.0,,,1,,Road,No,25,Medium,"Large quantity, Multiple drugs",1,The Canberra Times,full,en,Police seized 254kg of meth and 10kg of ketamine in one week,https://www.canberratimes.com.au/video/world/xbbrlg2/police-seized-254kg-of-meth-and-10kg-of-ketamine-in-one-week/,2620
2026-09-23,Cannabis,,,,,,,,,,,,,,Cannabis (2.3 t),2276.857,,,1,,Unknown,No,25,Medium,"Large quantity, Multiple drugs",2,"Do Took Media, deshbandhump.com",full,hi,"ऑपरेशन दहन: गौतमबुद्धनगर में 12.43 करोड़ रुपए के नशीले पदार्थों का विनिष्टीकरण, 224 मुकदमों से जुड़ा था माल",https://deshbandhump.com/post/oparesana-dahana-gautamabuddhanagara-mem-1243-karora-rupae-ke-nasile-padarthom-ka-vinistikarana-224-mukadamom-se-jura-tha-mala,3110
2026-09-23,Heroin/Opium,,,,,,,,,,,,,,Heroin/Opium (6.3 t),6255.0,,,1,,Unknown,No,20,Low,Large quantity,1,currentcrime.com,snippet,hi,"फिरोजपुर में 6.255 किलो हेरोइन बरामद, दो गिरफ्तार",https://www.currentcrime.com/hi/news/farajapara-ma-6255-kal-haraina-bramatha-tha-garafatara?language_id=2,3106
2026-09-23,Cocaine,,,,,,,,,,,,,Legitimate cargo (food/produce),Cocaine | Sea - cargo (other) | concealed: Legitimate cargo (food/produce) | 3 arrests,,,,1,3.0,Sea - cargo (other),No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,Portal Mário Adolfo,full,pt,Três PMs são presos suspeitos de tentar roubar carga de drogas em Manaus,https://www.blogdomarioadolfo.com.br/tres-pms-sao-presos-suspeitos-de-tentar-roubar-carga-de-drogas-em-manaus/,2935
2026-09-23,Cocaine,,,,Morocco,,,,,,,,,Legitimate cargo (food/produce),Cocaine (73 kg) | concealed: Legitimate cargo (food/produce),73.0,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,الشروق أونلاين,full,ar,الدفاع.. ضبط قنطارين من الكيف و58 كلغ من الكوكايين و136 ألف قرص مهلوس – الشروق أونلاين,https://www.echoroukonline.com/%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%B6%D8%A8%D8%B7-%D9%82%D9%86%D8%B7%D8%A7%D8%B1%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%83%D9%8A%D9%81-%D9%8858-%D9%83%D9%84%D8%BA-%D9%85%D9%86-%D8%A7%D9%84,2987
2026-09-23,NSA,,,,,,,,,,,,,Legitimate cargo (industrial/goods),NSA (1 kg) | concealed: Legitimate cargo (industrial/goods),0.838,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,HABER 24,full,tr,Kocaeli’de zehir tacirlerine darbe! Kilolarca uyuşturucu ve yüzlerce ecstasy ele geçirildi,https://www.haber24.com.tr/kocaelide-zehir-tacirlerine-darbe-kilolarca-uyusturucu-ve-yuzlerce-ecstasy-ele-gecirildi,3014
2026-09-23,Cannabis,,,,,,,,,,,muz,,Legitimate cargo (food/produce),Cannabis (42 kg) | concealed: Legitimate cargo (food/produce),42.0,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,Malatya Söz,full,tr,Jandarmadan Uyuşturucu Operasyonu! Ele Geçirilen Miktar Dikkat Çekti,https://www.malatyasoz.com/jandarmadan-uyusturucu-operasyonu-ele-gecirilen-miktar-dikkat-cekti,3037
2026-09-23,Cannabis,,,,,,,,,,,الات,,Legitimate cargo (industrial/goods),Cannabis | Air | concealed: Legitimate cargo (industrial/goods),,,,1,,Air,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,maspero.eg,full,ar,ضبط شخص بالجيزة لقيامه بالترويج لبيع المواد المخدرة,https://www.maspero.eg/accidents/2026/09/23/991787/%D8%B6%D8%A8%D8%B7-%D8%B4%D8%AE%D8%B5-%D8%A8%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9-%D9%84%D9%82%D9%8A%D8%A7%D9%85%D9%87-%D8%A8%D8%A7%D9%84%D8%AA%D8%B1%D9%88%D9%8A%D8%AC-%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D9%85%D8%AE%D8%AF%D8%B1%D8%A9,2978
2026-09-23,Unspecified,,,,Cambodia,,,,,,,,,,Unspecified (840 kg),840.0,,,1,,Unknown,No,20,Low,Large quantity,1,柬中時報,full,zh,柬埔寨海上破获特大毒品枪支案 7名中国人落网 缴毒840公斤、枪支49支,https://cc-times.com/posts/33785,3078
2026-09-23,Cigarettes,,,,,,,,,,,الكترونيات,,Legitimate cargo (industrial/goods); Luggage / passenger goods,Cigarettes | Air - passenger | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods,,,,1,,Air - passenger,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,شبكة تواصل الإخبارية,full,ar,جمارك مطار الغردقة تحبط تهريب مخدرات داخل سجائر وإلكترونيات بحوزة راكب إنجليزي,https://twaslnews1.twaslnews.com/5215868/,2982
2026-09-23,Cocaine,,,,Egypt,Cairo,,,,,,ملابس,,Legitimate cargo (industrial/goods),Cocaine | concealed: Legitimate cargo (industrial/goods),,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,Masrawy,full,ar,"""ضربة بـ182 مليون جنيه"".. كواليس سقوط مافيا المخدرات ومخازنها السرية بالإسكندرية",https://www.masrawy.com/news/news_cases/details/2026/9/23/3052654/-%D8%B6%D8%B1%D8%A8%D8%A9-%D8%A8%D9%80-182-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D8%AC%D9%86%D9%8A%D9%87-%D9%83%D9%88%D8%A7%D9%84%D9%8A%D8%B3-%D8%B3%D9%82%D9%88%D8%B7-%D9%85%D8%A7%D9%81%D9%8A%D8%A7-%D8%A7%D9%84%D9%85%D8%AE%D8%AF%D8%B1%D8%A7%D8%AA-%D9%88%D9%85%D8%AE%D8%A7%D8%B2%D9%86%D9%87%D8%A7-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%A9-%D8%A8%D9%80,2988
2026-09-23,Cocaine,Morocco,,,,,,,,,,ارز,,Legitimate cargo (food/produce),Cocaine (131 kg) | concealed: Legitimate cargo (food/produce),131.0,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,almasdar-dz.com,full,ar,المصدر - دفاع: حجز كمية معتبرة من الكيف والكوكايين وضبط أسلحة نارية,https://almasdar-dz.com/181890-%D8%AF%D9%81%D8%A7%D8%B9--%D8%AD%D8%AC%D8%B2-%D9%83%D9%85%D9%8A%D8%A9-%D9%85%D8%B9%D8%AA%D8%A8%D8%B1%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%83%D9%8A%D9%81-%D9%88%D8%A7%D9%84%D9%83%D9%88%D9%83%D8%A7%D9%8A%D9%8A%D9%86-%D9%88%D8%B6%D8%A8%D8%B7-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D9%86%D8%A7%D8%B1%D9%8A%D8%A9,2989
2026-09-23,Heroin/Opium,,,,India,Delhi,,,,,,फल,,Legitimate cargo (food/produce),Heroin/Opium | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,Dainik Bhaskar,full,hi,"मोहाली में कार से नशा बरामद, दो गिरफ्तार: चेकिंग के दौरान तलाशी में हेरोइन व आइस बरामद, यूपी के आरोपी दिल्ल...",https://www.bhaskar.com/local/punjab/mohali/news/mohali-police-arrest-up-youths-heroin-ice-drug-bust-139030881.html,2834
2026-09-23,Cannabis,,,,,,,,,,,الات,,Legitimate cargo (industrial/goods),Cannabis | concealed: Legitimate cargo (industrial/goods),,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,شبكة أخبار الشرق,full,ar,الشرطة الفلسطينية تحبط ترويج مخدرات في الخليل.. ضبط 186 حبة مخدرة,https://www.akhbar-sharq.com/news/65534,2695
2026-09-23,NSA,,,,India,Madhya Pradesh,,,,,,cement,,Legitimate cargo (industrial/goods); Luggage / passenger goods,NSA (1 kg) | Air - passenger | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods,1.12,,,1,,Air - passenger,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,Free Press Journal,full,en,₹1.19 Crore MDMA Seizure: Sleeper Buses Turn Into New Drug Smuggling Route Amid Strict Security Checks At,https://www.freepressjournal.in/indore/119-crore-mdma-seizure-sleeper-buses-turn-into-new-drug-smuggling-route-amid-strict-security-checks-at-airports-bhopal-indore-corridor-under-scanner,2649
2026-09-23,Cannabis,,,,Syria,Latakia,,,,,,cement,,Legitimate cargo (industrial/goods),"Cannabis (90 kg, 15,000 pills) | concealed: Legitimate cargo (industrial/goods) | 2 arrests",90.0,15000.0,pills,1,2.0,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",2,"verify-sy.com, سانا",full,en,Two major drug traffickers arrested in Syria’s Latakia,https://sana.sy/en/syria/2345381/,2885
2026-09-23,Unspecified,,,,,,,,,,,,,,Unspecified (383 kg),383.0,,,1,,Unknown,No,20,Low,Large quantity,1,Калуга-Поиск,full,ru,Более 383 кг наркотиков изъяли в Калужской области за 8 месяцев,https://www.kaluga-poisk.ru/news/kriminal/bolee-383-kg-narkotikov-izyali-v-kaluzhskoy-oblasti-za-8-mesyatsev,2791
2026-09-23,NSA,China,,,China,Shenzhen,Shenzhen,,,,,水果,,Legitimate cargo (food/produce),NSA | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,20,Low,"Hidden in legitimate cargo, Multiple drugs",1,搜狐网,full,zh,进境客车上查获8包毒品,https://m.sohu.com/a/1079942735_253235?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334,2809
2026-09-23,Cannabis,,,Colombia,Colombia,Barranquilla,,Santa Marta,,,,,,Hidden compartment (unspecified),Cannabis | concealed: Hidden compartment (unspecified) | 3 arrests,,,,1,3.0,Unknown,No,15,Low,Advanced concealment,1,ELHERALDO.CO,full,es,"Incautan más de 3.300 dosis de marihuana en el barrio La Central, Soledad: tres sujetos fueron capturados",https://www.elheraldo.co/judicial/2026/09/23/incautan-mas-de-3300-dosis-de-marihuana-en-el-barrio-la-central-soledad-tres-sujetos-fueron-capturados/,2916
2026-09-23,Cocaine,,,,,,,,,,,plastic,,Legitimate cargo (industrial/goods),Cocaine (1 kg) | Sea - cargo (other) | concealed: Legitimate cargo (industrial/goods) | 2 arrests,1.0,,,1,2.0,Sea - cargo (other),No,15,Low,Hidden in legitimate cargo,1,oobservador.com,full,pt,DENARC prende dois suspeitos de tráfico e apreende quase 1 kg de cocaína em Porto Velho,https://www.oobservador.com/2026/09/denarc-prende-dois-suspeitos-de-trafico.html,2934
2026-09-23,Cannabis,,,,Dominican Republic,Santo Domingo,,,,,,plastic,,Legitimate cargo (industrial/goods); Luggage / passenger goods,"Cannabis (25 kg, 53 packages) | Air - passenger | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods",24.94745,53.0,packages,1,,Air - passenger,No,15,Low,Hidden in legitimate cargo,2,"Ensegundos.do, vigilante informativo",full,es,Autoridades incautan en el AILA 53 paquetes de marihuana,https://vigilanteinformativo.com/autoridades-incautan-en-el-aila-53-paquetes-de-marihuana/,2918
2026-09-23,NSA,,,,Iraq,Baghdad,,,,,,الات,,Legitimate cargo (industrial/goods),NSA (85 kg) | concealed: Legitimate cargo (industrial/goods),85.0,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,4,"Lebanon 24, RojNews.News, kalimaiq.com, الوكالة الوطنية العراقية للأنباء| نينا",full,ar,ضبط بحوزته 85 كيلوغرام.. الإعدام لتاجر مخدرات,https://rojnews.news/ar/?p=289149,2965
2026-09-23,Cannabis,,,,Brazil,Rio de Janeiro,,,,,,cacao,,Legitimate cargo (food/produce),Cannabis (40 kg) | Road | concealed: Legitimate cargo (food/produce),40.0,,,1,,Road,No,15,Low,Hidden in legitimate cargo,1,J3News,full,pt,PRF apreende 40 kg de maconha e 20 litros de lança-perfume e prende dois homens na BR-101,https://j3news.com/2026/09/23/prf-apreende-40-kg-de-maconha-e-20-litros-de-lanca-perfume-e-prende-dois-homens-na-br-101/,2943
2026-09-23,Heroin/Opium,,,,India,Uttar Pradesh,,,,,,,,Legitimate cargo (food/produce),Heroin/Opium | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,1,bhaskar.com,full,hi,"अनपरा में 6.84 ग्राम हेरोइन के साथ एक गिरफ्तार: पुलिस की घेराबंदी में पकड़ा गया तस्कर, चोपन थाने में दर्ज ह...",https://www.bhaskar.com/local/uttar-pradesh/sonbhadra/kuldomari/news/anpara-police-arrest-gooddu-yadav-heroin-seizure-sonbhadra-139123567.html,3104
2026-09-23,Heroin/Opium,,,,,,,,,,,फल,,Legitimate cargo (food/produce),Heroin/Opium | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,1,atalhind.com,full,hi,"सिरसा में पुलिस ने की बड़ी कार्रवाई, दो अलग-अलग मामलों में हेरोइन के साथ दो तस्कर गिरफ्तार",https://www.atalhind.com/sirsa-two-heroin-smugglers-arrested-6b572865a19d/,3101
2026-09-23,Heroin/Opium,,,,India,Delhi,,,,,,,,Legitimate cargo (food/produce),Heroin/Opium | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,1,Hindustan,full,hi,Sonbhadra News: 6.84 ग्राम हेरोइन संग शातिर तस्कर गिरफ्तार,https://www.livehindustan.com/uttar-pradesh/sonbhadra/story-anpara-police-seizes-6-84-grams-of-heroin-in-major-drug-bust-201790164570242.amp.html,3100
2026-09-23,Cannabis,,,,,,,,,,,cacao,,Legitimate cargo (food/produce),Cannabis | concealed: Legitimate cargo (food/produce),,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,1,Plantão 190,full,pt,Forças de segurança apreendem mais de 300 quilos de maconha em Foz do Iguaçu,https://plantao190.com.br/forcas-de-seguranca-apreendem-mais-de-300-quilos-de-maconha-em-foz-do-iguacu/,2940
2026-09-23,NSA,,,,,,,,,,,الات,,Legitimate cargo (industrial/goods),NSA (85 kg) | concealed: Legitimate cargo (industrial/goods),85.0,,,1,,Unknown,No,15,Low,Hidden in legitimate cargo,1,ashourland.net,full,ar,الجنائية المركزية: الإعدام بحق تاجر مخدرات ضبطت بحوزته 85 كيلوغراماً من المواد المخدرة,https://ashourland.net/2026/09/23/%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D8%B9%D8%AF%D8%A7%D9%85-%D8%A8%D8%AD%D9%82-%D8%AA%D8%A7%D8%AC%D8%B1-%D9%85%D8%AE-2/,2974
